ILMNGene_ProbeId,MBC_vs_CP_Up,MBC_vs_CP_Down,LBC_vs_CP_Up,LBC_vs_CP_Down,PTC209_Up,PTC_209_Down
C12ORF5_ILMN1791792,0,0,1,0,1,0
C12ORF57_ILMN1812191,0,0,0,0,1,0
C13ORF27_ILMN1682774,0,0,0,1,0,1
C13ORF3_ILMN1736816,0,1,0,0,0,1
C14ORF149_ILMN2053281,0,1,0,1,0,1
C15ORF39_ILMN1793729,1,0,1,0,1,0
C15ORF42_ILMN1674662,0,0,0,1,0,1
C16ORF75_ILMN1790537,0,1,0,0,0,1
C16ORF93_ILMN2179726,0,0,0,1,0,1
C17ORF53_ILMN1776490,0,1,0,1,0,1
C17ORF91_ILMN2390310,1,0,0,0,1,0
C18ORF10_ILMN1671693,0,1,0,1,0,1
C18ORF10_ILMN2207328,0,1,0,1,0,1
C19ORF64_ILMN3253728,1,0,0,0,0,1
C1GALT1C1_ILMN1751234,0,0,0,0,0,1
C1ORF112_ILMN1727540,0,1,0,1,0,1
C1ORF135_ILMN1787280,0,1,0,1,0,1
C1ORF162_ILMN1754894,0,0,0,1,1,0
C1ORF165_ILMN1675024,0,0,1,0,0,1
C1ORF59_ILMN1682428,0,0,0,1,1,0
C1ORF63_ILMN1760556,1,0,1,0,1,0
C20ORF201_ILMN1780283,0,0,0,0,0,1
C21ORF58_ILMN2310296,0,1,0,0,0,1
C2ORF32_ILMN2182148,0,1,0,1,0,1
C2ORF82_ILMN1774265,0,0,0,0,0,1
C3ORF52_ILMN2184612,0,0,0,0,0,1
C4ORF18_ILMN1672124,0,0,0,0,1,0
C4ORF32_ILMN1700257,0,0,1,0,1,0
C4ORF34_ILMN1713892,1,0,1,0,1,0
C4ORF34_ILMN2224907,0,0,1,0,1,0
C5ORF4_ILMN1728742,0,0,0,1,0,1
C5ORF41_ILMN1776788,1,0,1,0,1,0
C6ORF173_ILMN1763907,0,1,0,0,0,1
C6ORF192_ILMN1669831,0,1,0,1,0,1
C6ORF62_ILMN1653797,1,0,0,0,1,0
C6ORF85_ILMN1705116,0,1,0,1,0,1
C9ORF164_ILMN1733221,0,0,0,1,1,0
C9ORF46_ILMN1709043,0,0,0,1,1,0
C9ORF91_ILMN1803652,0,0,1,0,1,0
CA1_ILMN1652431,0,1,0,1,0,1
CA2_ILMN1662795,0,1,0,1,0,1
CA2_ILMN2199439,0,1,0,1,0,1
CACNA2D4_ILMN1696317,0,0,0,1,1,0
CALCRL_ILMN1758281,1,0,0,0,1,0
CALR_ILMN1736256,0,0,0,1,0,1
CAPG_ILMN1655821,0,0,1,0,1,0
CAPN11_ILMN1765274,1,0,1,0,0,1
CAPN3_ILMN1687971,0,0,1,0,1,0
CARHSP1_ILMN1809477,0,1,1,0,0,1
CARS_ILMN1696066,0,0,1,0,1,0
CARS_ILMN2367469,0,0,1,0,1,0
CASP1_ILMN2326509,1,0,1,0,1,0
CASP1_ILMN2326512,1,0,1,0,1,0
CASP6_ILMN1694877,0,0,0,1,0,1
CASZ1_ILMN1655191,0,0,1,0,1,0
CAT_ILMN2151739,0,1,0,1,0,1
CCDC34_ILMN1657547,0,1,0,1,0,1
CCDC34_ILMN2288784,0,1,0,1,0,1
CCDC50_ILMN2302118,0,0,1,0,0,1
CCDC91_ILMN1676523,1,0,1,0,1,0
CCL23_ILMN1686109,0,0,0,1,0,1
CCNA2_ILMN1786125,0,1,0,1,0,1
CCNB2_ILMN1801939,0,1,0,1,0,1
CCND1_ILMN1688480,0,1,0,1,0,1
CCNE1_ILMN2374425,0,1,0,1,0,1
CCPG1_ILMN1794190,1,0,0,0,1,0
CD14_ILMN1740015,0,0,0,1,1,0
CD14_ILMN2396444,0,0,0,1,1,0
CD151_ILMN2326713,0,0,0,1,0,1
CD200_ILMN1787750,1,0,1,0,1,0
CD24_ILMN2060413,0,0,1,0,0,1
CD320_ILMN2115633,0,1,0,0,0,1
CD34_ILMN1732799,1,0,1,0,0,1
CD34_ILMN2341229,1,0,1,0,0,1
CD38_ILMN2233783,0,0,0,1,0,1
CD53_ILMN1662843,1,0,1,0,1,0
CD53_ILMN2413808,1,0,1,0,1,0
CD68_ILMN1714861,1,0,0,0,1,0
CD69_ILMN1651316,1,0,1,0,0,1
CD69_ILMN2188333,1,0,0,0,0,1
