ILMNGene_ProbeId;MBC_vs_CP_Up;MBC_vs_CP_Down;LBC_vs_CP_Up;LBC_vs_CP_Down;PTC209_Up;PTC209_Down
CAT_ILMN2151739;0;1;0;1;0;1
CCDC34_ILMN1657547;0;1;0;1;0;1
CCDC34_ILMN2288784;0;1;0;1;0;1
CCL23_ILMN1686109;0;0;0;1;0;1
CCNA2_ILMN1786125;0;0;0;1;0;1
CCNB2_ILMN1801939;0;1;0;1;0;1
CCND1_ILMN1688480;0;1;0;1;0;1
CCNE1_ILMN2374425;0;1;0;1;0;1
CCPG1_ILMN1794190;1;0;0;0;1;0
CD14_ILMN1740015;0;0;0;1;1;0
CD14_ILMN2396444;0;0;0;1;1;0
CD200_ILMN1787750;1;0;1;0;1;0
CD24_ILMN2060413;1;0;1;0;0;1
CD300A_ILMN1693552;1;0;0;0;1;0
CD36_ILMN1784863;0;0;0;1;0;1
CD36_ILMN1796094;0;0;0;1;0;1
CD38_ILMN2233783;0;0;0;1;0;1
CD53_ILMN1662843;1;0;1;0;1;0
CD53_ILMN2413808;1;0;1;0;1;0
CD84_ILMN1698367;0;0;0;1;0;1
CD96_ILMN1711573;1;0;1;0;1;0
CD96_ILMN2415786;1;0;1;0;1;0
CDC20_ILMN1663390;0;0;0;1;0;1
CDC25A_ILMN1711005;0;1;0;1;0;1
CDC25C_ILMN1725260;0;0;0;1;0;1
CDC25C_ILMN2407619;0;0;0;1;0;1
CDC45L_ILMN1670238;0;0;0;1;0;1
CDC7_ILMN1741801;0;0;0;1;0;1
CDCA2_ILMN1660654;0;0;0;1;0;1
CDCA5_ILMN1683450;0;1;0;1;0;1
CDCA7_ILMN1737184;0;0;0;1;0;1
CDCA8_ILMN1709294;0;0;0;1;0;1
CDH26_ILMN2323007;0;0;0;1;0;1
CDKN1C_ILMN1718565;1;0;0;0;1;0
CDKN3_ILMN1666305;0;0;0;1;0;1
CDT1_ILMN1651237;0;1;0;1;0;1
CEACAM1_ILMN1716815;1;0;1;0;1;0
CEACAM6_ILMN1712522;0;0;1;0;0;1
CEBPB_ILMN1693014;0;0;0;1;1;0
CENPE_ILMN2225718;0;0;0;1;0;1
CENPF_ILMN1664516;0;1;0;1;0;1
CENPK_ILMN1737195;0;0;0;1;0;1
CENPM_ILMN1668814;0;1;0;1;0;1
CENPM_ILMN2368718;0;1;0;1;0;1
CENPN_ILMN1720526;0;1;0;1;0;1
CENPV_ILMN1729142;0;1;0;1;0;1
CENPV_ILMN3246608;0;1;0;0;0;1
CFC1B_ILMN1781980;0;1;0;1;0;1
CHAF1A_ILMN1669842;0;0;0;1;0;1
CHAF1B_ILMN1674231;0;1;0;1;0;1
CHEK1_ILMN1664630;0;1;0;1;0;1
CHEK2_ILMN2395236;0;0;0;1;0;1
CKAP2L_ILMN1751776;0;0;0;1;0;1
CKAP5_ILMN1716336;0;0;0;1;0;1
CKB_ILMN1671478;0;0;0;1;0;1
CKS1B_ILMN1719256;0;1;0;1;0;1
CKS1B_ILMN2041046;0;1;0;1;0;1
CKS2_ILMN1756326;0;1;0;1;0;1
CKS2_ILMN2072296;0;1;0;1;0;1
CLC_ILMN1654875;0;1;0;1;0;1
CLDN10_ILMN1685194;0;0;0;1;0;1
CLDN10_ILMN1721818;0;0;0;1;0;1
CLEC1B_ILMN1745103;0;0;0;1;0;1
CLGN_ILMN2050813;0;0;0;1;0;1
CMAH_ILMN1704084;1;0;1;0;1;0
CMAH_ILMN2086612;1;0;0;0;1;0
CMTM5_ILMN1775373;0;1;0;1;0;1
CNN3_ILMN1782439;0;0;1;0;0;1
CNRIP1_ILMN3187324;0;1;0;1;0;1
CNRIP1_ILMN3232894;0;1;0;1;0;1
COCH_ILMN1711514;0;1;0;1;0;1
COL24A1_ILMN1810996;1;0;0;0;1;0
COLQ_ILMN2329114;0;0;1;0;0;1
COQ2_ILMN1756572;0;0;0;1;0;1
COQ3_ILMN1801378;0;1;0;1;0;1
CPOX_ILMN3240389;0;1;0;1;0;1
CPVL_ILMN2400759;0;1;0;1;0;1
CRELD2_ILMN1748707;0;0;1;0;0;1
CRIP1_ILMN1656920;1;0;1;0;0;1
CROP_ILMN1728180;1;0;1;0;1;0
CRY1_ILMN1760593;0;0;1;0;1;0
CSF1R_ILMN1686623;1;0;1;0;1;0
CTDSPL_ILMN2392189;0;1;0;0;0;1
CTNNAL1_ILMN1721901;0;1;0;0;0;1
CTNNAL1_ILMN2136446;0;1;0;0;0;1
CTNS_ILMN1807719;1;0;1;0;1;0
CTSG_ILMN1680424;0;1;0;1;0;1
CTSO_ILMN1769633;1;0;1;0;1;0
CTTN_ILMN1744912;0;1;0;1;0;1
CTXN1_ILMN1759766;0;0;0;1;0;1
CUGBP2_ILMN2400947;1;0;1;0;1;0
CYB561_ILMN1771179;1;0;1;0;1;0
CYP4V2_ILMN2054607;0;0;0;1;1;0
CYTH4_ILMN3238196;1;0;1;0;1;0
DAPK1_ILMN1708340;1;0;0;0;1;0
DDAH1_ILMN1668507;0;0;0;1;0;1
DDIT4_ILMN1661599;0;0;1;0;1;0
DENND5A_ILMN1785356;1;0;1;0;1;0
DENND5A_ILMN3245413;1;0;1;0;1;0
DEPDC1B_ILMN1814600;0;0;0;1;0;1
DEPDC1B_ILMN2103685;0;0;0;1;0;1
DGKQ_ILMN1793017;0;0;1;0;1;0
DHCR24_ILMN1725510;0;0;0;1;0;1
DHCR7_ILMN2165867;0;0;0;1;0;1
DHRS9_ILMN1733998;0;0;0;1;0;1
DHRS9_ILMN2384181;0;0;0;1;0;1
DIAPH3_ILMN1695226;0;0;0;1;0;1
DIAPH3_ILMN2373689;0;0;0;1;0;1
DLGAP5_ILMN1749829;0;0;0;1;0;1
DLGAP5_ILMN3239771;0;0;0;1;0;1
DLK1_ILMN1797519;1;0;0;0;0;1
DLL1_ILMN1743373;0;0;1;0;1;0
DNM3_ILMN1680928;0;0;0;1;0;1
DSCC1_ILMN1776577;0;0;0;1;0;1
DTL_ILMN1779711;0;1;0;1;0;1
DUSP5_ILMN1656501;0;0;1;0;1;0
DUSP6_ILMN1677466;1;0;1;0;1;0
DUSP6_ILMN2396020;1;0;1;0;1;0
DUT_ILMN1732688;0;1;0;1;0;1
DUT_ILMN2374778;0;1;0;1;0;1
ECGF1_ILMN2109708;0;0;0;1;1;0
ECM1_ILMN2329735;1;0;1;0;0;1
EFHC2_ILMN1791302;1;0;0;1;0;1
EGR1_ILMN1762899;0;0;0;1;1;0
ELANE_ILMN1706635;0;1;0;1;0;1
ELOVL6_ILMN1700546;0;1;0;1;0;1
ELOVL6_ILMN2111187;0;1;0;1;0;1
EMP1_ILMN1801616;1;0;1;0;1;0
EMR2_ILMN2353633;0;0;1;0;1;0
ENPP4_ILMN1781761;0;0;0;1;1;0
EPB42_ILMN1814397;0;1;0;1;0;1
EPOR_ILMN2168347;0;1;0;1;0;1
EPSTI1_ILMN2388547;0;1;0;1;0;1
ETS1_ILMN2122103;0;0;0;1;1;0
EVI2A_ILMN1733579;1;0;1;0;1;0
EVI2A_ILMN2369018;0;0;1;0;1;0
EVI2B_ILMN1763452;0;0;1;0;1;0
EXO1_ILMN1673721;0;0;0;1;0;1
EXO1_ILMN2351916;0;0;0;1;0;1
F13A1_ILMN1717163;1;0;0;0;0;1
FABP5_ILMN2146761;0;1;0;1;0;1
FABP5L2_ILMN3178258;0;0;0;1;0;1
FABP5L2_ILMN3266606;0;0;0;1;0;1
FAIM3_ILMN1775542;1;0;1;0;1;0
FAM107B_ILMN1758672;0;0;1;0;1;0
FAM116B_ILMN1659029;1;0;1;0;1;0
FAM150B_ILMN3247082;0;0;1;0;0;1
FAM178B_ILMN1804993;0;1;0;1;0;1
FAM46A_ILMN1740466;0;0;0;1;0;1
FAM46C_ILMN1713266;0;1;0;1;0;1
FAM54A_ILMN1697998;0;1;0;1;0;1
FAM65C_ILMN3242330;0;1;0;1;0;1
FAM83D_ILMN1781943;0;1;0;1;0;1
FANCD2_ILMN2235137;0;1;0;1;0;1
FANCI_ILMN1655642;0;1;0;1;0;1
FAR2_ILMN2202915;1;0;0;0;0;1
FBLN1_ILMN1700541;0;0;0;1;0;1
FBXO32_ILMN1703955;0;0;1;0;1;0
FCER1G_ILMN2123743;1;0;0;1;1;0
FCGRT_ILMN1705302;0;1;0;1;1;0
FEN1_ILMN1755834;0;1;0;1;0;1
FEN1_ILMN2160929;0;1;0;1;0;1
FGD3_ILMN1772686;0;0;1;0;1;0
FGFR3_ILMN1723123;0;0;0;1;0;1
FGR_ILMN2368318;0;0;0;1;1;0
FHL2_ILMN1668411;0;1;0;1;0;1
FKBP11_ILMN1787345;0;1;0;1;0;1
FLJ20273_ILMN1689046;0;0;1;0;1;0
FLJ39639_ILMN1790412;1;0;0;0;1;0
FLT3_ILMN1766363;1;0;1;0;1;0
FOXC1_ILMN1738401;1;0;0;0;1;0
FOXM1_ILMN1716400;0;1;0;1;0;1
FOXM1_ILMN2344971;0;1;0;1;0;1
FST_ILMN1700081;0;1;0;1;0;1
FTH1_ILMN1683146;0;0;0;1;1;0
FYB_ILMN1796537;1;0;0;1;0;1
FYN_ILMN2249920;0;0;1;0;1;0
GAB2_ILMN1665964;0;0;1;0;1;0
GATA1_ILMN1797251;0;1;0;1;0;1
GBP2_ILMN1774077;1;0;1;0;1;0
GBP4_ILMN1771385;1;0;1;0;1;0
GBP5_ILMN2114568;1;0;1;0;1;0
GGH_ILMN1681754;0;0;0;1;0;1
GIMAP1_ILMN1757186;0;0;1;0;1;0
GIMAP4_ILMN1748473;0;0;1;0;1;0
GIMAP5_ILMN1769383;0;0;1;0;1;0
GIMAP7_ILMN1776678;1;0;1;0;1;0
GIMAP8_ILMN1747305;1;0;1;0;1;0
GINS2_ILMN1809590;0;1;0;1;0;1
GINS3_ILMN1754272;0;1;0;1;0;1
GLA_ILMN1766637;0;0;0;1;0;1
GLIPR1_ILMN1769245;1;0;1;0;1;0
GMPR_ILMN1729487;0;1;0;1;0;1
GNG7_ILMN1728107;0;0;1;0;1;0
GOLGA8B_ILMN2103547;0;0;0;1;1;0
GP1BA_ILMN1753575;0;0;0;1;0;1
GP9_ILMN1743290;0;0;0;1;0;1
GPI_ILMN2173451;0;0;0;1;0;1
GPR160_ILMN1662846;0;0;1;0;0;1
GPR56_ILMN2352097;0;0;1;0;1;0
GPT2_ILMN1684158;0;0;0;1;1;0
GRTP1_ILMN2142353;0;1;0;1;0;1
GSG2_ILMN1709085;0;0;0;1;0;1
GSN_ILMN1801043;1;0;1;0;0;1
GUCY1A3_ILMN1808590;1;0;1;0;1;0
GVIN1_ILMN1668526;1;0;1;0;1;0
GYPB_ILMN1683093;0;1;0;1;0;1
GYPE_ILMN1695187;0;1;0;1;0;1
GYPE_ILMN1815908;0;1;0;1;0;1
GYPE_ILMN2266962;0;1;0;1;0;1
H2AFY_ILMN1674034;0;0;1;0;1;0
HBA1_ILMN3240144;0;0;0;1;0;1
HBA2_ILMN1667796;0;0;0;1;0;1
HBA2_ILMN2127842;0;0;0;1;0;1
HBB_ILMN2100437;0;1;0;1;0;1
HBBP1_ILMN1653814;0;0;0;1;0;1
HBD_ILMN1815527;0;1;0;1;0;1
HBEGF_ILMN2121408;0;0;1;0;1;0
HBG1_ILMN1796678;0;0;0;1;0;1
HBG2_ILMN2084825;0;0;0;1;0;1
HBQ1_ILMN1696183;0;1;0;1;0;1
HCK_ILMN1791771;1;0;0;0;1;0
HCST_ILMN1699931;1;0;1;0;1;0
HCST_ILMN2396991;1;0;1;0;1;0
HEMGN_ILMN1680094;1;0;0;1;0;1
HEMGN_ILMN2413537;1;0;0;1;0;1
HERPUD1_ILMN2374159;0;0;0;1;1;0
HIF1A_ILMN1681283;0;0;1;0;1;0
HIF1A_ILMN1763260;0;0;1;0;1;0
HIST1H2AC_ILMN1792689;1;0;1;0;1;0
HIST1H2BD_ILMN1651496;1;0;1;0;1;0
HIST1H2BK_ILMN1796179;0;0;1;0;1;0
HIST1H4H_ILMN1751120;0;0;1;0;1;0
HIST2H2BE_ILMN1732071;1;0;0;0;1;0
HJURP_ILMN1703906;0;1;0;1;0;1
HLA-DMB_ILMN1761733;1;0;1;0;1;0
HLA-DOA_ILMN1659075;1;0;1;0;1;0
HLA-DPB1_ILMN1749070;0;0;1;0;1;0
HLA-DQA1_ILMN1808405;0;0;1;0;1;0
HLA-DQB1_ILMN1661266;0;0;1;0;1;0
HLA-DRB3_ILMN1717261;0;0;1;0;1;0
HLA-DRB4_ILMN1752592;0;0;1;0;1;0
HLA-DRB6_ILMN2066066;0;0;1;0;1;0
HLX_ILMN2087646;1;0;1;0;1;0
HMGB1L1_ILMN1809439;0;1;0;0;0;1
HMGB1L1_ILMN2211800;0;1;0;0;0;1
HMMR_ILMN1781942;0;0;0;1;0;1
HMMR_ILMN2409220;0;0;0;1;0;1
HOMER2_ILMN1671486;0;0;0;1;0;1
HOXB2_ILMN1810274;0;0;0;1;1;0
HPGD_ILMN2166457;1;0;0;1;1;0
HS.10862_ILMN1843198;0;0;0;1;0;1
HS.143018_ILMN1824362;0;0;1;0;1;0
HS.193767_ILMN1903914;0;0;1;0;1;0
HS.25318_ILMN1837428;0;0;0;1;0;1
HS.276860_ILMN1821176;1;0;1;0;1;0
HS.374257_ILMN1860638;0;0;1;0;1;0
HS.497591_ILMN1838863;1;0;0;0;0;1
HS.508682_ILMN1821517;0;0;0;1;1;0
HS.535028_ILMN1886493;1;0;0;0;1;0
HS.5724_ILMN1839019;0;0;1;0;1;0
HS.579631_ILMN1881909;0;0;0;1;0;1
HSD17B8_ILMN1715324;0;0;0;1;0;1
HSPA5_ILMN1773865;0;0;0;1;0;1
HYAL3_ILMN1667432;0;1;0;1;0;1
ID2_ILMN1793990;0;0;1;0;1;0
ID2_ILMN2086095;0;0;1;0;1;0
IDS_ILMN1758626;1;0;1;0;1;0
IDUA_ILMN1703041;0;0;1;0;1;0
IER3_ILMN1682717;0;1;0;1;1;0
IFI27L2_ILMN1740319;1;0;1;0;0;1
IFI30_ILMN1807277;0;0;1;0;1;0
IFNGR1_ILMN1675939;1;0;0;0;1;0
IFRD1_ILMN1667561;0;0;0;1;1;0
IGF2R_ILMN1807662;0;0;1;0;1;0
IGFBP4_ILMN1665865;0;0;1;0;0;1
IGLL1_ILMN2393765;0;1;0;0;0;1
IGLL3_ILMN2083066;0;1;0;0;0;1
