ILMNGene_ProbeId;MBC_vs_CP_Up;MBC_vs_CP_Down;LBC_vs_CP_Up;LBC_vs_CP_Down;PTC209_Up;PTC209_Down
MND1_ILMN1671906;0;1;0;1;0;1
MND1_ILMN2148796;0;1;0;1;0;1
MNS1_ILMN1711462;0;0;0;1;0;1
MNS1_ILMN2157240;0;1;0;1;0;1
MOBKL2A_ILMN1721344;0;0;1;0;1;0
MOSC1_ILMN1799106;0;1;0;1;0;1
MPL_ILMN1776640;0;0;0;1;0;1
MPO_ILMN1705183;0;1;0;1;0;1
MPP7_ILMN1721774;0;0;0;1;0;1
MPZL2_ILMN1752932;1;0;0;0;1;0
MS4A3_ILMN1751625;0;0;0;1;0;1
MTHFD2_ILMN2405521;0;0;0;1;1;0
MTP18_ILMN2355665;0;1;0;0;0;1
MTSS1_ILMN1676980;0;1;0;1;0;1
MTSS1_ILMN2073289;0;1;0;0;0;1
MUC1_ILMN1756992;0;1;0;1;0;1
MUC1_ILMN2371911;0;1;0;1;0;1
MVP_ILMN1803277;1;0;1;0;1;0
MXD1_ILMN2214678;0;0;0;1;1;0
MYCT1_ILMN1750225;0;0;0;1;1;0
MYH10_ILMN1815154;0;1;0;1;0;1
MYL4_ILMN1684255;0;1;0;1;0;1
MYLK_ILMN1691476;0;0;1;0;0;1
MYO1B_ILMN2093027;1;0;1;0;0;1
NAT8B_ILMN1691264;0;0;0;1;0;1
NCAPD2_ILMN1775008;0;0;0;1;0;1
NCAPG2_ILMN2066756;0;0;0;1;0;1
NCF2_ILMN1796642;1;0;1;0;1;0
NCKIPSD_ILMN1736623;0;0;0;1;0;1
NDRG1_ILMN1809931;1;0;0;0;0;1
NEIL3_ILMN1757697;0;0;0;1;0;1
NETO2_ILMN1760849;1;0;0;0;0;1
NEXN_ILMN1783276;0;0;1;0;0;1
NFE2L3_ILMN2049766;0;0;0;1;1;0
NGFRAP1_ILMN1729208;0;0;0;1;0;1
NGFRAP1_ILMN2370091;0;0;0;1;0;1
NINJ2_ILMN1731745;1;0;0;1;0;1
NIPSNAP1_ILMN1805916;0;0;0;1;0;1
NMNAT3_ILMN1665123;0;1;0;1;0;1
NMNAT3_ILMN2153485;0;1;0;1;0;1
NOTCH1_ILMN1729161;1;0;1;0;1;0
NOV_ILMN1787186;0;0;1;0;0;1
NPW_ILMN3246678;0;0;0;1;0;1
NR1H3_ILMN1814022;1;0;0;0;1;0
NR4A2_ILMN1782305;0;1;0;0;1;0
NR4A2_ILMN2339955;0;1;0;0;1;0
NRGN_ILMN1705686;0;0;0;1;0;1
NRIP3_ILMN1759563;0;0;0;1;0;1
NSBP1_ILMN1749799;0;1;0;1;0;1
NT5DC2_ILMN1708743;0;1;0;0;0;1
NT5E_ILMN1697220;0;0;1;0;1;0
NUP37_ILMN1771903;0;0;0;1;0;1
NUSAP1_ILMN1726720;0;0;0;1;0;1
NUSAP1_ILMN2409298;0;0;0;1;0;1
OAT_ILMN1654441;0;0;0;1;0;1
OBFC2A_ILMN1785852;1;0;1;0;1;0
OIP5_ILMN1759277;0;0;0;1;0;1
OIP5_ILMN2196984;0;0;0;1;0;1
OLFML2A_ILMN1761425;1;0;1;0;0;1
ORC1L_ILMN1727459;0;1;0;1;0;1
ORC6L_ILMN1731070;0;1;0;1;0;1
OSBP2_ILMN1781966;0;0;0;1;0;1
OSCAR_ILMN1741917;1;0;0;0;1;0
OSCAR_ILMN2367418;1;0;0;0;1;0
OSM_ILMN1780546;0;0;0;1;1;0
P2RY5_ILMN1786429;1;0;1;0;1;0
PAG1_ILMN2055156;0;0;1;0;1;0
PAM_ILMN2313901;1;0;0;0;0;1
PANX2_ILMN1694810;1;0;1;0;1;0
PBK_ILMN1673673;0;1;0;1;0;1
PDE5A_ILMN1810836;0;0;0;1;0;1
PDGFRB_ILMN1815057;0;0;1;0;0;1
PDIA5_ILMN1695763;0;0;0;1;0;1
PDK3_ILMN1776582;0;0;0;1;0;1
PDZD8_ILMN1696962;0;1;0;1;0;1
PEX11A_ILMN1690695;0;0;0;1;0;1
PFAS_ILMN1755862;0;0;0;1;0;1
PGK1_ILMN2216852;1;0;0;0;0;1
PGM1_ILMN1800659;0;0;0;1;0;1
PHGDH_ILMN1704537;0;0;0;1;1;0
PIK3CB_ILMN1763347;0;0;0;1;0;1
PIK3IP1_ILMN1719986;1;0;1;0;1;0
PIP5K2B_ILMN1812105;0;0;1;0;1;0
PIR_ILMN1761247;0;1;0;1;0;1
PIR_ILMN2383383;0;1;0;1;0;1
PKIA_ILMN1762262;0;1;0;1;0;1
PKIA_ILMN2337974;0;1;0;1;0;1
PKM2_ILMN1672650;0;0;1;0;0;1
PKM2_ILMN1775327;1;0;1;0;0;1
PKM2_ILMN2366634;1;0;1;0;0;1
PLA2G4C_ILMN1810191;1;0;1;0;1;0
PLEKHF1_ILMN1708041;0;0;0;1;1;0
PLEKHO1_ILMN1694213;1;0;1;0;1;0
PLIN2_ILMN1801077;0;1;0;1;1;0
PLIN2_ILMN2138765;0;1;0;1;1;0
PLK4_ILMN1789123;0;1;0;1;0;1
PLOD1_ILMN1684391;0;0;0;1;0;1
PLOD2_ILMN1771599;0;1;0;1;0;1
PLOD2_ILMN2410924;0;0;0;1;0;1
PLS3_ILMN2041788;0;0;0;1;0;1
PLTP_ILMN1773389;0;0;0;1;0;1
PMAIP1_ILMN1689525;0;0;1;0;1;0
PMAIP1_ILMN2098446;1;0;1;0;1;0
POLA2_ILMN1696713;0;1;0;1;0;1
POLE2_ILMN1774336;0;1;0;1;0;1
POLQ_ILMN1740291;0;1;0;1;0;1
PPBP_ILMN1767281;0;0;0;1;0;1
PPM1M_ILMN1657810;1;0;0;0;1;0
PPP1R14A_ILMN1761968;0;1;0;1;0;1
PPP1R16B_ILMN1727098;1;0;1;0;1;0
PRC1_ILMN1728934;0;1;0;1;0;1
PRDX4_ILMN2222234;0;0;0;1;0;1
PRG2_ILMN1729314;0;1;0;1;0;1
PRKCH_ILMN1780898;1;0;1;0;1;0
PROM1_ILMN1786720;1;0;0;0;1;0
PROS1_ILMN1671928;0;0;0;1;0;1
PRPS1_ILMN1667050;0;1;0;1;0;1
PRTFDC1_ILMN1708516;0;0;0;1;0;1
PRTN3_ILMN1668460;0;1;0;1;0;1
PSCD4_ILMN1660364;1;0;1;0;1;0
PSCDBP_ILMN1746864;1;0;1;0;1;0
PTGS2_ILMN2054297;0;0;0;1;1;0
PTPRE_ILMN1734543;0;0;1;0;1;0
PTPRE_ILMN2383611;0;0;1;0;1;0
PTTG1_ILMN2042771;0;0;0;1;0;1
PTTG3P_ILMN2049021;0;0;0;1;0;1
PYCR1_ILMN1796013;0;0;0;1;1;0
RAB11FIP5_ILMN1740604;0;0;1;0;0;1
RAB23_ILMN2346997;0;0;0;1;0;1
RAB38_ILMN2134974;0;0;0;1;0;1
RAB4B_ILMN1803136;0;0;1;0;1;0
RAB6B_ILMN1752299;0;0;0;1;0;1
RACGAP1_ILMN2077550;0;1;0;1;0;1
RAD51AP1_ILMN1670353;0;0;0;1;0;1
RAD54L_ILMN1658027;0;1;0;1;0;1
RAP1GAP_ILMN1776519;0;1;0;1;0;1
RAPGEF1_ILMN1769412;0;0;1;0;1;0
RASAL3_ILMN1795089;0;0;1;0;1;0
RASD1_ILMN1740426;0;1;1;0;1;0
RASL10A_ILMN1747673;1;0;1;0;0;1
RBM47_ILMN3224926;0;0;1;0;1;0
RBM47_ILMN3306730;0;0;1;0;1;0
RBPMS2_ILMN1808238;0;1;0;1;0;1
RCBTB2_ILMN2148668;1;0;1;0;1;0
RCSD1_ILMN1749006;1;0;1;0;1;0
RDM1_ILMN2309534;0;0;0;1;0;1
RECQL4_ILMN1703092;0;1;0;1;0;1
RFC3_ILMN1658143;0;1;0;1;0;1
RFC3_ILMN1784860;0;1;0;1;0;1
RFC5_ILMN1659364;0;0;0;1;0;1
RGL1_ILMN1654398;0;0;1;0;1;0
RGS1_ILMN1656011;0;0;0;1;1;0
RGS2_ILMN2197365;0;0;0;1;1;0
RHAG_ILMN1811410;0;1;0;1;0;1
RHBDF1_ILMN1808404;1;0;1;0;1;0
RN5S9_ILMN3234762;0;1;0;0;1;0
RN7SK_ILMN1739423;0;1;0;0;1;0
RN7SK_ILMN2074860;0;1;0;0;1;0
RNASE1_ILMN2333670;0;1;0;1;0;1
RNASE2_ILMN1730628;0;1;0;1;0;1
RNASE3_ILMN2113126;0;1;0;1;0;1
RNF14_ILMN1714461;0;0;1;0;1;0
RNF14_ILMN2351241;0;0;1;0;1;0
RNF144_ILMN1777660;0;0;0;1;1;0
RNF144A_ILMN3238326;0;0;0;1;1;0
RNF19B_ILMN1682081;0;0;1;0;1;0
RPA3_ILMN1716895;0;0;0;1;0;1
RPL14_ILMN1726460;0;1;0;0;1;0
RPS24_ILMN2399893;0;1;0;0;0;1
RPS6KA2_ILMN1702501;1;0;0;0;1;0
RRM1_ILMN1771593;0;0;0;1;0;1
RRN3_ILMN1765401;0;0;0;1;0;1
RTN1_ILMN1756928;0;0;0;1;0;1
RTN4_ILMN1748983;1;0;0;0;0;1
RUNX2_ILMN1716651;1;0;0;0;1;0
S100A10_ILMN1796712;0;0;0;1;0;1
S100A11_ILMN1750101;0;0;0;1;1;0
S100Z_ILMN1795139;1;0;1;0;1;0
SDK2_ILMN1676709;0;0;1;0;0;1
SDPR_ILMN1715991;0;0;0;1;0;1
SDSL_ILMN1750674;0;0;0;1;1;0
SEL1L3_ILMN1797822;1;0;0;1;1;0
SELP_ILMN1715417;0;0;0;1;0;1
SEPT5_ILMN1789627;0;0;0;1;0;1
SERF2_ILMN3251501;1;0;0;0;1;0
SERPINB2_ILMN2150851;0;1;0;1;1;0
SERPINB2_ILMN2150856;0;0;0;1;1;0
SERPINE2_ILMN1655595;0;1;0;1;0;1
SERPINI1_ILMN1814333;0;0;0;1;1;0
SGK_ILMN1702487;0;1;0;0;1;0
SGK1_ILMN3229324;0;1;0;0;1;0
SGK1_ILMN3305938;0;1;0;0;1;0
SGOL1_ILMN1730825;0;0;0;1;0;1
SGOL1_ILMN2404906;0;0;0;1;0;1
SGSH_ILMN2133675;0;0;1;0;1;0
SH2D3C_ILMN1775734;1;0;1;0;1;0
SH3TC1_ILMN1756595;1;0;1;0;1;0
SHANK3_ILMN2317580;1;0;1;0;1;0
SHANK3_ILMN2317581;1;0;1;0;1;0
SHMT2_ILMN1661264;0;0;0;1;1;0
SIGLEC10_ILMN1655549;0;1;0;1;0;1
SKP2_ILMN1791002;0;1;0;0;0;1
SLC11A1_ILMN1741165;0;1;0;1;1;0
SLC12A9_ILMN1695962;0;0;1;0;1;0
SLC16A3_ILMN2364022;1;0;0;0;0;1
SLC22A17_ILMN1653200;0;1;0;1;0;1
SLC24A3_ILMN1663519;0;1;0;1;0;1
SLC25A23_ILMN1679949;0;0;0;1;0;1
SLC25A34_ILMN1709399;0;1;0;0;1;0
SLC27A3_ILMN1719627;0;0;1;0;1;0
SLC29A1_ILMN1723971;0;1;0;1;0;1
SLC29A1_ILMN2338963;0;1;0;1;0;1
SLC2A1_ILMN1659027;0;1;0;0;1;0
SLC2A5_ILMN1671337;0;0;1;0;0;1
SLC35F2_ILMN2075189;0;0;0;1;0;1
SLC36A4_ILMN2082324;0;0;0;1;0;1
SLC38A1_ILMN1769911;1;0;1;0;1;0
SLC38A1_ILMN2266948;0;0;1;0;1;0
SLC43A2_ILMN1787127;0;0;1;0;1;0
SLC45A4_ILMN1745778;0;0;0;1;1;0
SMC2_ILMN1748923;0;0;0;1;0;1
SMO_ILMN1782098;0;0;0;1;0;1
SNHG1_ILMN3236713;0;0;0;1;1;0
SORL1_ILMN2060115;0;0;1;0;1;0
SPARC_ILMN1796734;0;0;1;0;0;1
SPC24_ILMN2181432;0;1;0;1;0;1
SPINK2_ILMN1763516;0;0;0;1;0;1
SPP1_ILMN2374449;1;0;0;0;1;0
SPRY1_ILMN2329914;0;0;1;0;1;0
SPTA1_ILMN1717935;0;1;0;1;0;1
SSTR2_ILMN2152257;0;0;1;0;1;0
ST3GAL1_ILMN1683313;0;0;1;0;1;0
STAB1_ILMN1655987;1;0;0;0;1;0
STEAP3_ILMN2383349;0;1;0;1;0;1
STIL_ILMN2413650;0;1;0;1;0;1
STMN1_ILMN1657796;0;1;0;1;0;1
STOM_ILMN1696419;0;0;0;1;0;1
STS-1_ILMN1653856;1;0;1;0;0;1
SUSD3_ILMN1785570;0;0;1;0;0;1
SVOPL_ILMN1754555;0;0;0;1;0;1
SYNM_ILMN1712075;0;0;1;0;0;1
SYTL1_ILMN1750785;1;0;1;0;1;0
TACSTD1_ILMN2160210;0;1;0;1;0;1
TAL1_ILMN1748450;0;1;0;1;0;1
TEK_ILMN1751576;0;1;0;1;0;1
TEK_ILMN2066151;0;1;0;1;0;1
TESC_ILMN1750181;0;0;0;1;0;1
TFDP2_ILMN1793671;0;0;0;1;0;1
TFPI_ILMN1662619;1;0;0;1;1;0
TFPI_ILMN1707124;1;0;0;1;1;0
TFRC_ILMN1674243;0;1;0;1;0;1
TGFBR2_ILMN2384241;1;0;0;0;1;0
THOC3_ILMN2415926;0;1;0;0;0;1
TIMELESS_ILMN1735093;0;1;0;1;0;1
TIPARP_ILMN1765578;0;1;0;1;1;0
TK1_ILMN1806037;0;1;0;0;0;1
TLE1_ILMN1751572;0;0;1;0;0;1
TM4SF1_ILMN1770338;1;0;0;0;1;0
TMEM154_ILMN1683494;1;0;1;0;1;0
TMEM154_ILMN2088124;1;0;1;0;1;0
TMEM175_ILMN1654629;0;0;1;0;1;0
TMEM51_ILMN1674985;1;0;1;0;1;0
TMEM91_ILMN2211065;1;0;0;0;1;0
TMEM97_ILMN1710962;0;1;0;1;0;1
TMOD1_ILMN1736911;0;1;0;1;0;1
TMSB15A_ILMN1681737;0;1;0;1;0;1
TNFAIP6_ILMN1785732;0;1;0;1;1;0
TNFRSF4_ILMN2112256;1;0;0;0;1;0
TNFSF14_ILMN2363392;0;0;1;0;1;0
TNFSF4_ILMN1746175;1;0;1;0;1;0
TNFSF4_ILMN2089875;1;0;1;0;1;0
TOP2A_ILMN1686097;0;0;0;1;0;1
TPI1_ILMN1707627;0;0;0;1;0;1
TPI1_ILMN2181191;0;0;0;1;0;1
TPM1_ILMN1716687;0;1;0;1;0;1
TPM1_ILMN2360710;0;1;0;1;0;1
TPX2_ILMN1796949;0;0;0;1;0;1
TRIB3_ILMN1787815;0;0;0;1;1;0
TRIM6_ILMN1656910;0;1;0;1;0;1
TRIP13_ILMN1796589;0;0;0;1;0;1
TROAP_ILMN1700337;0;0;0;1;0;1
TSC22D3_ILMN1748124;1;0;1;0;1;0
TSC22D3_ILMN2276952;1;0;1;0;1;0
TSC22D3_ILMN2376403;1;0;1;0;1;0
TSPAN13_ILMN2130525;0;0;1;0;0;1
TSPAN7_ILMN1809291;0;0;1;0;0;1
TSPAN7_ILMN2120695;1;0;1;0;0;1
TSPAN9_ILMN1729453;0;0;1;0;0;1
TST_ILMN1691572;0;1;0;1;0;1
TTC27_ILMN1757730;0;0;0;1;0;1
TTK_ILMN1788166;0;0;0;1;0;1
TUBA1C_ILMN1742167;0;0;0;1;0;1
TUBAL3_ILMN1670385;0;0;0;1;0;1
TUBB_ILMN1665583;0;0;0;1;0;1
TUBB_ILMN2101885;0;0;0;1;0;1
TUBB2C_ILMN1780769;0;0;0;1;0;1
TXNDC5_ILMN2403965;0;0;0;1;0;1
TYMS_ILMN1806040;0;1;0;1;0;1
TYROBP_ILMN1778977;1;0;0;1;1;0
UAP1_ILMN1742461;0;0;0;1;0;1
UBASH3B_ILMN3249435;0;0;1;0;0;1
UBE2C_ILMN1714730;0;0;0;1;0;1
UBE2C_ILMN2301083;0;0;0;1;0;1
UHRF1_ILMN1786065;0;0;1;0;0;1
UNG_ILMN1683120;0;1;0;1;0;1
UPP1_ILMN1798256;1;0;1;0;1;0
VEGFA_ILMN2375879;0;0;0;1;1;0
VNN1_ILMN1674574;1;0;0;0;1;0
VPS13C_ILMN2398865;0;0;1;0;1;0
VRK1_ILMN1805828;0;0;0;1;0;1
VWA5A_ILMN1764769;0;0;0;1;1;0
VWF_ILMN1752755;0;0;0;1;1;0
WARS_ILMN1727271;0;0;0;1;1;0
WBP5_ILMN1679838;0;0;0;1;0;1
WBP5_ILMN2340935;0;0;0;1;0;1
WDR12_ILMN1770692;0;0;0;1;0;1
WDR51A_ILMN1780667;0;1;0;1;0;1
WDR86_ILMN1700248;0;0;1;0;0;1
WDR90_ILMN1698185;0;1;0;1;0;1
WFDC1_ILMN1660808;0;0;0;1;0;1
WIT-1_ILMN1723910;1;0;0;0;1;0
WIT1_ILMN3237912;1;0;0;0;1;0
XK_ILMN1759117;0;1;0;1;0;1
XRCC6BP1_ILMN1767481;0;0;0;1;0;1
XYLT1_ILMN1830462;1;0;1;0;1;0
YARS_ILMN1766010;0;0;0;1;1;0
YPEL3_ILMN1791147;0;0;1;0;1;0
YPEL5_ILMN1711069;1;0;1;0;1;0
ZBTB46_ILMN1710092;1;0;0;0;1;0
ZFPM1_ILMN1651438;0;1;0;1;0;1
ZMAT3_ILMN1654262;0;0;1;0;1;0
ZMIZ1_ILMN1771627;1;0;1;0;1;0
ZNF215_ILMN1749502;0;1;0;1;0;1
ZNF521_ILMN2225548;0;0;0;1;1;0
ZWINT_ILMN2362545;0;1;0;0;0;1
ZWINT_ILMN2362549;0;1;0;1;0;1
